idno,stflife,gndr,cntry
10002,8,2,BG
10006,10,1,BG
10009,5,2,BG
10024,4,2,BG
10027,3,1,BG
10048,5,2,BG
10053,6,1,BG
10055,5,1,BG
10059,5,1,BG
10061,5,1,BG
10064,5,2,BG
10068,5,2,BG
10071,7,1,BG
10077,5,2,BG
10078,2,2,BG
10079,9,2,BG
10081,7,1,BG
10088,6,1,BG
10090,5,1,BG
10093,6,2,BG
10104,6,1,BG
10107,9,1,BG
10112,0,2,BG
10130,5,2,BG
10133,4,1,BG
10134,8,2,BG
10136,0,2,BG
10141,8,2,BG
10145,8,1,BG
10146,5,2,BG
10149,6,2,BG
10156,5,2,BG
10169,1,1,BG
10176,8,2,BG
10180,6,2,BG
10182,8,2,BG
10183,6,2,BG
10187,3,1,BG
10203,8,2,BG
10206,10,2,BG
10212,6,1,BG
10213,5,2,BG
10215,7,1,BG
10220,9,2,BG
10223,6,1,BG
10225,5,2,BG
10245,5,2,BG
10249,5,1,BG
10263,7,2,BG
10265,8,1,BG
10271,5,1,BG
10273,5,1,BG
10279,7,2,BG
10280,10,2,BG
10283,2,1,BG
10288,5,1,BG
10295,5,2,BG
10297,9,1,BG
10304,5,2,BG
10312,8,1,BG
10313,10,2,BG
10314,6,2,BG
10318,8,1,BG
10322,6,1,BG
10329,3,1,BG
10333,3,1,BG
10340,6,1,BG
10368,7,2,BG
10369,4,1,BG
10379,1,1,BG
10380,8,2,BG
10393,10,2,BG
10394,7,2,BG
10397,7,1,BG
10398,5,2,BG
10401,7,2,BG
10402,8,2,BG
10404,3,1,BG
10421,9,1,BG
10445,6,1,BG
10454,4,2,BG
10460,3,1,BG
10465,5,2,BG
10466,6,2,BG
10470,5,1,BG
10478,2,1,BG
10482,7,1,BG
10484,7,1,BG
10485,5,2,BG
10486,5,1,BG
10489,4,2,BG
10490,7,2,BG
10494,6,1,BG
10501,2,1,BG
10502,5,2,BG
10508,6,1,BG
10516,8,1,BG
10526,6,2,BG
10528,8,1,BG
10542,5,2,BG
10546,9,1,BG
10557,4,2,BG
10558,9,2,BG
10561,7,2,BG
10566,9,2,BG
10567,7,1,BG
10572,9,2,BG
10573,5,2,BG
10574,3,1,BG
10575,7,1,BG
10579,0,1,BG
10581,3,2,BG
10586,6,2,BG
10598,10,2,BG
10601,9,1,BG
10626,5,1,BG
10629,5,1,BG
10632,5,1,BG
10638,4,1,BG
10644,6,1,BG
10648,9,2,BG
10651,6,1,BG
10660,3,2,BG
10664,1,2,BG
10680,4,2,BG
10684,6,1,BG
10687,7,1,BG
10699,5,1,BG
10703,6,1,BG
10722,4,1,BG
10735,9,1,BG
10745,10,2,BG
10757,9,1,BG
10759,3,2,BG
10766,8,2,BG
10782,7,1,BG
10784,2,2,BG
10793,6,1,BG
10795,9,1,BG
10799,4,1,BG
10802,5,1,BG
10816,10,2,BG
10819,7,2,BG
10828,10,2,BG
10831,5,1,BG
10838,6,2,BG
10848,4,1,BG
10853,6,2,BG
10865,8,2,BG
10870,4,1,BG
10875,7,2,BG
10892,5,1,BG
10913,3,2,BG
10914,6,1,BG
10928,8,2,BG
10935,0,1,BG
10938,3,2,BG
10940,5,1,BG
10948,6,2,BG
10958,3,2,BG
10969,5,1,BG
10976,7,2,BG
10988,8,2,BG
10989,5,1,BG
10998,5,2,BG
11013,8,1,BG
11021,6,1,BG
11023,6,1,BG
11026,7,2,BG
11039,5,2,BG
11042,NA,1,BG
11043,10,1,BG
11047,0,1,BG
11049,7,1,BG
11051,7,1,BG
11057,5,1,BG
11065,7,2,BG
11070,8,1,BG
11073,7,2,BG
11089,8,1,BG
11097,5,2,BG
11105,9,1,BG
11106,5,1,BG
11112,6,2,BG
11120,4,2,BG
11131,4,1,BG
11143,10,1,BG
11146,1,1,BG
11154,5,2,BG
11160,0,1,BG
11162,8,1,BG
11164,8,1,BG
11174,9,1,BG
11175,4,2,BG
11177,10,2,BG
11195,6,2,BG
11205,5,2,BG
11209,9,1,BG
11220,5,2,BG
11222,7,1,BG
11225,5,1,BG
11227,6,2,BG
11230,6,2,BG
11237,5,2,BG
11239,6,2,BG
11240,0,2,BG
11259,3,2,BG
11261,0,1,BG
11269,5,2,BG
11271,5,2,BG
11273,2,1,BG
11274,3,1,BG
11284,6,2,BG
11293,5,2,BG
11298,9,2,BG
11300,6,2,BG
11321,7,1,BG
11323,6,2,BG
11329,8,1,BG
11336,5,1,BG
11344,4,1,BG
11350,4,2,BG
11360,9,2,BG
11365,7,2,BG
